Date,DLS_LS,Cumulative DLS_LS,RSI_L,Cumulative RSI_L,DLS_L,Cumulative DLS_L
2019-11-18,-0.007629325295529204,-0.04200756168132269,-0.0031489946395224793,0.11424461865255875,-0.00947866127689842,0.027261968398113012
2019-11-25,-0.007395838192570423,-0.04909271874483356,0.009647038382766458,0.12499377925649102,0.0025227614274228012,0.029853505267846137
2019-12-02,-0.007772745540761622,-0.05648387907488739,-0.013686188063197994,0.10959690282365875,-0.01539916396765948,0.013994622277557767
2019-12-09,-0.0185779825683935,-0.0740125051224324,0.0013466277120192127,0.11109111676217198,-0.002892752751909797,0.011061386543542717
2019-12-16,0.0011768664816792559,-0.07292274147725675,0.014958832330876463,0.12771174248214368,0.014146444643192774,0.025364310479150554
2019-12-23,0.006084078097741753,-0.06728233103376402,0.0017969925445252824,0.12973823207575785,0.00023564603483470494,0.02560593351317597
2019-12-30,0.006995738654121825,-0.060757281983594646,-0.007706108757399383,0.12103234639199001,-0.0005933634473206033,0.024997376440874186
2020-01-06,-0.01335248034723329,-0.07329850191719067,0.0044444936489313365,0.1260147675357759,0.0005965981516967661,0.025608887981152684
2020-01-13,-0.011606991360015022,-0.08405471819875077,0.007512900546052554,0.13447440449765868,0.012937533645397351,0.03887773747642753
2020-01-20,-0.015778810061474288,-0.09850724482699624,-0.0044688771026358985,0.1294045778078725,-0.027296101788792902,0.010520425008160084
2020-01-27,-0.0236600868637539,-0.11983664172143427,-0.009539779675807894,0.11863030697073662,-0.009976201536561487,0.00043926959146678435
2020-02-03,0.011007655919513692,-0.11014810632054028,0.014790126265054538,0.13517499045475057,0.0259421452841855,0.026392810471213002
2020-02-10,0.03608688555917654,-0.07803612286871309,0.022510567213118903,0.160728423376034,0.03303878959735615,0.0603035865806103
2020-02-17,0.0026737576427612484,-0.07557101490588347,0.004723523004607802,0.16621115078595294,-0.0007719092495956721,0.05948512843474929
2020-02-24,0.00980339234866354,-0.066508474866529,-0.021,0.14172071661944785,-0.05100000000000001,0.005451386884577136
2020-03-02,0.0176976835074399,-0.04998783729783951,-0.01732402200620657,0.12194152179979056,0.010864203345145752,0.016374815205350002
2020-03-09,-0.05155720521788493,-0.09896780932976157,-0.021,0.09838074984199485,-0.05100000000000001,-0.03546030037012293
2020-03-16,-0.045294525174477046,-0.13977963457308895,-0.008006534397919797,0.089586526586372,-0.028024432480581726,-0.06249097805724102
2020-03-23,0.038391199824368366,-0.10675474263099316,0.0035053684575520752,0.09340592882844168,0.0883911998243684,0.02037656923844966
2020-03-30,0.015945599442384828,-0.09251141155317688,-0.010774773447727225,0.08162472765891349,-0.02392018266098958,-0.004031024680727913
2020-04-06,0.18501404461634835,0.07538672263855073,0.07241799900313775,0.1599538261082858,0.18476980135269985,0.179993965042466
2020-04-13,0.12463797690400366,0.20942074813764644,-0.021,0.13559479576001188,0.09780241765806483,0.2954002276455452
2020-04-20,-0.009252432243438448,0.19823066461169425,0.11037016952518754,0.2609305858799651,-0.005632125644033116,0.2881043708041364
2020-04-27,-0.030450188090251514,0.16174431549876123,0.058714858659101456,0.3349659470088453,-0.01721123061441109,0.2659345094227956
2020-05-04,0.026735997818555308,0.1928047089836551,0.05622641281694618,0.4100262934419301,0.07472672685100415,0.36053365171969287
2020-05-11,-0.00664915996527005,0.18487355966629537,-0.012382702007226583,0.3925663580278844,-0.0217410251924864,0.3309542553224294
